"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"	"TF"	"SoxN_bind"	"SoxN_target"	"D_bind"	"D_target"
1.49805982556387e-14	1.24133305923921	0.909	0.562	2.62055605285887e-10	18	"Pdi"	FALSE	TRUE	FALSE	TRUE	FALSE
1.60677415004961e-14	1.12017754587267	0.939	0.508	2.81073002068178e-10	18	"CG5885"	FALSE	FALSE	FALSE	TRUE	TRUE
1.96420151368338e-14	0.607475219599745	0.485	0.097	3.43597770788634e-10	18	"CG5112"	FALSE	FALSE	FALSE	FALSE	FALSE
2.03038686428379e-14	0.27572903181753	0.424	0.073	3.55175574169164e-10	18	"Vha100-2"	FALSE	TRUE	FALSE	FALSE	FALSE
2.96071483870272e-14	0.851640000294599	1	0.63	5.17917846734266e-10	18	"hoip"	FALSE	FALSE	FALSE	FALSE	FALSE
3.48014892592936e-14	0.96706082478734	0.97	0.646	6.08782451612823e-10	18	"Tapdelta"	FALSE	FALSE	FALSE	FALSE	FALSE
3.58274684965049e-14	0.813623378102481	0.879	0.361	6.26729906409361e-10	18	"CG9328"	FALSE	FALSE	FALSE	FALSE	FALSE
5.50078000894569e-14	0.28126163442779	0.394	0.066	9.62251446964869e-10	18	"Mccc1"	FALSE	FALSE	FALSE	FALSE	FALSE
9.34171268945408e-14	0.337792495570193	0.364	0.06	1.6341458007662e-09	18	"CG1827"	FALSE	FALSE	FALSE	FALSE	FALSE
1.12006866653204e-13	1.19761317161252	0.879	0.613	1.9593361183645e-09	18	"CG32276"	FALSE	FALSE	FALSE	FALSE	FALSE
1.63925254147484e-13	0.600773716288295	0.424	0.076	2.86754447080193e-09	18	"Gadd45"	FALSE	TRUE	FALSE	FALSE	FALSE
3.42762623815176e-13	0.456612157857467	0.485	0.104	5.99594657839888e-09	18	"CG9171"	FALSE	FALSE	FALSE	TRUE	FALSE
3.57547192194104e-13	0.371116250407285	0.394	0.07	6.25457303305147e-09	18	"CG12730"	FALSE	FALSE	FALSE	TRUE	TRUE
4.56978792897525e-13	0.879310513776382	0.788	0.328	7.9939300241564e-09	18	"TM9SF2"	FALSE	FALSE	FALSE	FALSE	FALSE
6.09299947917432e-13	0.8551935038314	0.97	0.584	1.06584839889196e-08	18	"eEF1delta"	FALSE	FALSE	FALSE	TRUE	FALSE
7.91536058429869e-13	0.978774222904189	0.818	0.349	1.38463402701137e-08	18	"OstDelta"	FALSE	FALSE	FALSE	FALSE	FALSE
8.01129706834836e-13	0.447354287563058	0.364	0.064	1.40141619616618e-08	18	"GstT3"	FALSE	TRUE	FALSE	FALSE	FALSE
1.49380850119814e-12	0.908305684096256	0.909	0.545	2.6131192111459e-08	18	"schlank"	TRUE	FALSE	FALSE	FALSE	FALSE
1.6965554397311e-12	0.459861328728033	0.545	0.137	2.96778443072162e-08	18	"Galt"	FALSE	FALSE	FALSE	TRUE	TRUE
1.83275484074019e-12	0.370419227318	0.545	0.124	3.20603804290682e-08	18	"zfh1"	TRUE	TRUE	FALSE	TRUE	TRUE
2.76722849001016e-12	0.681505940635261	0.788	0.279	4.84071279757477e-08	18	"CG30463"	FALSE	TRUE	FALSE	TRUE	FALSE
2.9952528363813e-12	0.356502738156233	0.455	0.1	5.2395957866818e-08	18	"CG14701"	FALSE	TRUE	FALSE	FALSE	FALSE
3.48080141031943e-12	0.759629634791908	0.758	0.271	6.08896590707177e-08	18	"CG42566"	FALSE	FALSE	FALSE	FALSE	FALSE
3.89978136774807e-12	0.771255047256058	0.667	0.215	6.8218875466017e-08	18	"CG30499"	FALSE	FALSE	FALSE	FALSE	FALSE
7.31117423393352e-12	0.586658481533599	0.545	0.145	1.27894370874199e-07	18	"CG7872"	FALSE	FALSE	FALSE	FALSE	FALSE
7.8072402693517e-12	0.295746352885362	0.333	0.055	1.36572054031769e-07	18	"CG5390"	FALSE	FALSE	FALSE	TRUE	FALSE
9.92417795021579e-12	0.294974704560191	0.424	0.084	1.73603644883125e-07	18	"MESR3"	FALSE	FALSE	FALSE	TRUE	FALSE
1.05936106417824e-11	0.46720969463088	0.636	0.19	1.853140309567e-07	18	"Pisd"	FALSE	FALSE	FALSE	FALSE	FALSE
1.61771017945233e-11	1.02182233305305	0.848	0.48	2.82986041691597e-07	18	"Moe"	FALSE	TRUE	FALSE	FALSE	FALSE
1.6246518145467e-11	0.468109896886019	0.455	0.106	2.84200341918654e-07	18	"Pgd"	FALSE	FALSE	FALSE	TRUE	FALSE
3.70908257379944e-11	0.380760145141873	0.424	0.093	6.48829814634736e-07	18	"Acph-1"	FALSE	TRUE	FALSE	FALSE	FALSE
3.84098784087568e-11	0.528812012934431	0.667	0.218	6.71904003004383e-07	18	"bys"	FALSE	FALSE	FALSE	TRUE	FALSE
4.17935306782829e-11	0.327603022755613	0.273	0.041	7.31094232155202e-07	18	"CG16743"	FALSE	FALSE	FALSE	FALSE	FALSE
4.46588988308178e-11	0.36263229130496	0.515	0.133	7.81218117247496e-07	18	"fdl"	FALSE	FALSE	FALSE	TRUE	FALSE
4.78148833726049e-11	0.499051523525071	0.576	0.171	8.36425754836977e-07	18	"wol"	FALSE	FALSE	FALSE	TRUE	FALSE
5.24563143803016e-11	0.518989940489417	0.485	0.125	9.17618307454616e-07	18	"CG31937"	FALSE	FALSE	FALSE	FALSE	FALSE
5.79407586384147e-11	0.29888981758692	0.485	0.115	1.01355769086179e-06	18	"Rac2"	FALSE	TRUE	FALSE	FALSE	FALSE
7.27653154815591e-11	0.751087582203718	0.939	0.553	1.27288366371891e-06	18	"CG4038"	FALSE	FALSE	FALSE	FALSE	FALSE
8.5374848730595e-11	0.939505030346377	0.788	0.327	1.4934622288443e-06	18	"CG6084"	FALSE	TRUE	TRUE	FALSE	FALSE
9.54953170476569e-11	0.365932803688426	0.424	0.096	1.67049958111466e-06	18	"CalpB"	FALSE	FALSE	FALSE	FALSE	FALSE
9.75492250221135e-11	0.575804947281359	0.606	0.192	1.70642859331183e-06	18	"Catsup"	FALSE	FALSE	FALSE	FALSE	FALSE
1.06555207384341e-10	0.747860880946081	0.697	0.27	1.86397024277428e-06	18	"PH4alphaEFB"	FALSE	FALSE	FALSE	TRUE	TRUE
1.07322790292884e-10	0.528036500824924	0.636	0.195	1.87739757059342e-06	18	"Alg1"	FALSE	FALSE	FALSE	FALSE	FALSE
1.30593621324276e-10	0.808583926566658	0.879	0.506	2.28447421782555e-06	18	"Frl"	FALSE	FALSE	FALSE	FALSE	FALSE
1.49988856107081e-10	0.41527715196809	0.545	0.147	2.62375505988116e-06	18	"CG5254"	FALSE	FALSE	FALSE	FALSE	FALSE
1.70566220835161e-10	0.532573736234869	0.697	0.25	2.98371490106946e-06	18	"Karybeta3"	FALSE	FALSE	FALSE	TRUE	FALSE
1.96888005641558e-10	0.409596402969201	0.485	0.125	3.44416188268777e-06	18	"spin"	FALSE	TRUE	TRUE	FALSE	FALSE
2.10581087937634e-10	0.325874648656117	0.303	0.055	3.68369497129304e-06	18	"CG10165"	FALSE	FALSE	FALSE	FALSE	FALSE
2.79126322460454e-10	0.638969315171424	0.576	0.186	4.88275675880072e-06	18	"CG17660"	FALSE	FALSE	FALSE	FALSE	FALSE
2.90178569265476e-10	0.463859696893415	0.515	0.142	5.07609371216098e-06	18	"mmy"	FALSE	FALSE	FALSE	FALSE	FALSE
3.02426966712862e-10	0.399931815113729	0.636	0.197	5.2903549287081e-06	18	"Nmdmc"	FALSE	FALSE	FALSE	TRUE	TRUE
3.46882838781107e-10	0.942049664941562	0.818	0.409	6.06802149879791e-06	18	"Gp93"	FALSE	FALSE	FALSE	TRUE	FALSE
3.94593926881004e-10	0.709413395888851	0.848	0.493	6.9026315629294e-06	18	"eca"	FALSE	FALSE	FALSE	FALSE	FALSE
4.41816659643377e-10	0.382377796698394	0.364	0.079	7.7286988271416e-06	18	"CG9684"	FALSE	FALSE	FALSE	FALSE	FALSE
4.58092646836673e-10	0.573651248128045	0.667	0.246	8.01341467111392e-06	18	"SrpRbeta"	FALSE	TRUE	FALSE	FALSE	FALSE
5.52015242521453e-10	0.37820923039671	0.455	0.116	9.65640263742777e-06	18	"CG11089"	FALSE	FALSE	FALSE	FALSE	FALSE
7.01816284694472e-10	0.783921832446342	0.697	0.309	1.22768722681604e-05	18	"Spp"	FALSE	FALSE	FALSE	FALSE	FALSE
7.10133424940762e-10	0.709181500659642	0.879	0.451	1.24223640024887e-05	18	"CG7414"	FALSE	FALSE	FALSE	FALSE	FALSE
7.52127408023767e-10	0.764132820231794	0.606	0.205	1.31569647485598e-05	18	"Jafrac2"	FALSE	TRUE	FALSE	FALSE	FALSE
9.47342472760302e-10	0.863377887725101	0.788	0.401	1.6571861875996e-05	18	"Ostgamma"	FALSE	FALSE	FALSE	FALSE	FALSE
9.51133237646696e-10	0.597794652711745	0.758	0.343	1.66381737261536e-05	18	"Arf51F"	FALSE	FALSE	FALSE	TRUE	FALSE
1.21893836942077e-09	0.738008680644084	0.758	0.31	2.13228888962775e-05	18	"GlcAT-P"	FALSE	FALSE	FALSE	FALSE	FALSE
1.7673757544499e-09	0.923978515837546	0.788	0.416	3.0916704072592e-05	18	"Manf"	FALSE	TRUE	FALSE	TRUE	TRUE
1.87828021881535e-09	0.252345530409904	0.273	0.048	3.2856755867737e-05	18	"lama"	FALSE	TRUE	FALSE	TRUE	FALSE
2.15435447351646e-09	0.389968347295793	0.545	0.17	3.76861228052235e-05	18	"Gip"	FALSE	TRUE	FALSE	FALSE	FALSE
2.82261884565911e-09	0.725954018947799	0.939	0.63	4.93760714671149e-05	18	"CG8860"	FALSE	FALSE	FALSE	TRUE	FALSE
3.13157899378598e-09	0.616285094650533	0.667	0.27	5.47807113382982e-05	18	"Dp1"	FALSE	FALSE	FALSE	TRUE	TRUE
4.03833567573628e-09	0.301992579319286	0.303	0.059	7.06426059756547e-05	18	"CG12560"	FALSE	TRUE	FALSE	FALSE	FALSE
4.45220588184683e-09	0.652128190130574	0.667	0.247	7.78824374911466e-05	18	"Rbm13"	FALSE	FALSE	FALSE	TRUE	FALSE
4.48765636097835e-09	0.520746614079584	0.97	0.867	7.85025727225943e-05	18	"Tctp"	FALSE	FALSE	FALSE	FALSE	FALSE
4.84425835686553e-09	0.394085599505031	0.576	0.184	8.47406114366487e-05	18	"dnk"	FALSE	FALSE	FALSE	TRUE	FALSE
5.20599252870038e-09	0.547378302017168	0.697	0.281	9.10684273045558e-05	18	"Nopp140"	FALSE	FALSE	FALSE	TRUE	FALSE
5.55824302872337e-09	0.843157531587894	0.939	0.629	9.72303453014579e-05	18	"Tina-1"	FALSE	TRUE	TRUE	FALSE	FALSE
6.99907083457926e-09	0.422532182969306	0.424	0.117	0.000122434746109295	18	"P58IPK"	FALSE	FALSE	FALSE	FALSE	FALSE
7.57021390744506e-09	0.699498378990153	0.788	0.433	0.000132425751882936	18	"CHOp24"	FALSE	FALSE	FALSE	TRUE	FALSE
8.64118146456833e-09	0.339805863802336	0.515	0.159	0.000151160187359694	18	"AdenoK"	FALSE	FALSE	FALSE	FALSE	FALSE
8.66927209497354e-09	0.533696378954107	0.545	0.188	0.000151651576757372	18	"bif"	FALSE	TRUE	FALSE	TRUE	FALSE
9.83662603193668e-09	0.631131055750017	0.667	0.265	0.000172072099176668	18	"AspRS"	FALSE	FALSE	FALSE	FALSE	FALSE
1.10265243111338e-08	0.446367890865775	0.636	0.238	0.000192886989774663	18	"EMC1"	FALSE	FALSE	FALSE	FALSE	FALSE
1.1186684659891e-08	0.80782487374064	0.758	0.386	0.000195688674755473	18	"SsRbeta"	FALSE	FALSE	FALSE	FALSE	FALSE
1.12230204818545e-08	0.75764066827269	0.848	0.525	0.000196324297289082	18	"twr"	FALSE	FALSE	FALSE	FALSE	FALSE
1.21866602762955e-08	0.784116562053673	0.848	0.532	0.000213181248213238	18	"l(1)G0320"	FALSE	FALSE	FALSE	TRUE	FALSE
1.24080861190539e-08	0.512453478309394	0.697	0.276	0.00021705465048061	18	"Ent2"	FALSE	FALSE	FALSE	FALSE	FALSE
1.49226861574678e-08	0.51002515253133	1	0.915	0.000261042548952585	18	"CG2852"	FALSE	FALSE	FALSE	FALSE	FALSE
1.66444778803187e-08	0.684907887730189	0.97	0.763	0.000291161851560415	18	"Trx-2"	FALSE	FALSE	FALSE	FALSE	FALSE
1.72723650500614e-08	0.665838100813998	0.848	0.491	0.000302145481820723	18	"kud"	FALSE	FALSE	FALSE	FALSE	FALSE
1.74064878472711e-08	0.631615920324772	0.697	0.32	0.000304491691912313	18	"AnxB11"	FALSE	FALSE	FALSE	FALSE	FALSE
1.88137808569842e-08	0.436608514932498	0.303	0.065	0.000329109468531224	18	"CG10383"	FALSE	FALSE	FALSE	FALSE	FALSE
2.14172470460101e-08	0.653514648051026	0.697	0.316	0.000374651902575854	18	"CG2918"	FALSE	FALSE	FALSE	TRUE	TRUE
2.36479125588143e-08	0.574853814265607	0.606	0.228	0.000413672934391338	18	"l(2)37Cg"	FALSE	TRUE	FALSE	TRUE	FALSE
2.65866681359296e-08	0.716424951283692	0.818	0.474	0.000465080585701816	18	"CG33303"	FALSE	FALSE	FALSE	FALSE	FALSE
2.87468179005787e-08	0.541178605295907	0.788	0.364	0.000502868085534824	18	"Ahcy"	FALSE	FALSE	FALSE	FALSE	FALSE
3.37770226400403e-08	0.762662468478811	0.727	0.329	0.000590861457042225	18	"CG15098"	FALSE	FALSE	FALSE	FALSE	FALSE
3.51971728896069e-08	0.355272701513167	0.545	0.183	0.000615704145357894	18	"Paics"	FALSE	FALSE	FALSE	FALSE	FALSE
3.62290039092656e-08	0.98210457833877	0.758	0.511	0.000633753965384784	18	"KdelR"	FALSE	FALSE	FALSE	TRUE	FALSE
3.71445071679097e-08	0.718309962625684	0.727	0.367	0.000649768863888244	18	"p24-1"	FALSE	FALSE	FALSE	FALSE	FALSE
3.8983997343549e-08	0.494081799343165	1	0.83	0.000681947065530703	18	"eEF1gamma"	FALSE	FALSE	FALSE	FALSE	FALSE
4.62516479497757e-08	0.642160091268693	0.788	0.491	0.000809080077585427	18	"bai"	FALSE	TRUE	FALSE	TRUE	FALSE
4.86443334818277e-08	0.623144484607049	0.788	0.447	0.000850935325597612	18	"Spase25"	FALSE	FALSE	FALSE	FALSE	FALSE
5.12694952890968e-08	0.582544056576462	0.697	0.303	0.00089685728109217	18	"Roe1"	FALSE	FALSE	FALSE	FALSE	FALSE
5.44003488881365e-08	0.384058657334245	0.424	0.123	0.000951625303100172	18	"Prat"	FALSE	FALSE	FALSE	FALSE	FALSE
5.64703450485479e-08	0.63725886785229	0.879	0.512	0.000987835745934248	18	"Fib"	FALSE	FALSE	FALSE	TRUE	FALSE
6.76060344632079e-08	0.79808077592874	0.606	0.25	0.0011826323608649	18	"CG17271"	FALSE	FALSE	FALSE	FALSE	FALSE
7.13626267278952e-08	0.563088175986484	0.939	0.55	0.00124834642935107	18	"CG10576"	FALSE	FALSE	FALSE	FALSE	FALSE
8.11764014107146e-08	0.597513492116109	0.848	0.398	0.00142001878987763	18	"Glo1"	FALSE	FALSE	FALSE	FALSE	FALSE
8.38698020337561e-08	0.517657785962058	1	0.93	0.0014671344469765	18	"awd"	FALSE	FALSE	FALSE	FALSE	FALSE
9.55815528622187e-08	0.536979949073444	0.727	0.34	0.00167200810421879	18	"Echs1"	FALSE	FALSE	FALSE	FALSE	FALSE
9.85345983093209e-08	0.708292948399615	0.727	0.368	0.00172366572822495	18	"CG11857"	FALSE	FALSE	FALSE	FALSE	FALSE
1.06102457271979e-07	0.686552531775598	0.576	0.243	0.00185605028505873	18	"CG9917"	FALSE	TRUE	FALSE	TRUE	FALSE
1.06258592793182e-07	0.453090481528654	0.455	0.145	0.00185878156373113	18	"CG1418"	FALSE	FALSE	FALSE	FALSE	FALSE
1.27227633963966e-07	0.525953077624395	0.727	0.392	0.00222559300093166	18	"Surf4"	FALSE	FALSE	FALSE	FALSE	FALSE
1.27865716176451e-07	0.571908831723465	0.939	0.667	0.00223675497307467	18	"Sar1"	FALSE	FALSE	FALSE	TRUE	FALSE
1.31409220820125e-07	0.373385979379189	0.394	0.114	0.00229874149980645	18	"mst"	FALSE	FALSE	FALSE	FALSE	FALSE
1.33321507226568e-07	0.297238888362951	0.364	0.095	0.00233219312591436	18	"Marc"	FALSE	FALSE	FALSE	FALSE	FALSE
