"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"dpr6"	0	0.834721599819625	0.358	0.107	0	"2"	"dpr6"
"pan"	0	0.831543998197638	0.766	0.26	0	"2"	"pan"
"inaE"	0	0.828928964473675	0.525	0.164	0	"2"	"inaE"
"unc-13"	0	0.825541852925646	0.852	0.301	0	"2"	"unc-13"
"CG42541"	0	0.824466940278417	0.398	0.126	0	"2"	"CG42541"
"hdc"	0	0.822183577321512	0.588	0.197	0	"2"	"hdc"
"hfp"	0	0.821735185189211	0.59	0.199	0	"2"	"hfp"
"Ddc"	0	0.820662038113742	0.428	0.147	0	"2"	"Ddc"
"heph"	0	0.819839391263978	0.313	0.1	0	"2"	"heph"
"klg"	0	0.81849691143204	0.651	0.24	0	"2"	"klg"
"spen"	0	0.817805179384245	0.797	0.27	0	"2"	"spen"
"Pkc53E"	0	0.816822886662054	0.501	0.154	0	"2"	"Pkc53E"
"cindr"	0	0.815686950738499	0.797	0.272	0	"2"	"cindr"
"Ih"	0	0.813423109569681	0.845	0.308	0	"2"	"Ih"
"CG31712"	0	0.803506649365706	0.638	0.206	0	"2"	"CG31712"
"Syx1A"	0	0.80332728956656	0.916	0.391	0	"2"	"Syx1A"
"Pvf3"	0	0.802629093187471	0.513	0.176	0	"2"	"Pvf3"
"para"	0	0.800807393980298	0.838	0.302	0	"2"	"para"
"cdi"	0	0.797008788467799	0.6	0.184	0	"2"	"cdi"
"GluRIB"	0	0.796893965071307	0.429	0.126	0	"2"	"GluRIB"
"CG1677"	0	0.791078999189262	0.595	0.193	0	"2"	"CG1677"
"gish"	0	0.789900040064869	0.645	0.206	0	"2"	"gish"
"luna"	0	0.788371140770642	0.439	0.136	0	"2"	"luna"
"Glut4EF"	0	0.78796765489596	0.747	0.252	0	"2"	"Glut4EF"
"plum"	0	0.786330373157755	0.326	0.086	0	"2"	"plum"
"cpo"	0	0.782006308976622	0.684	0.232	0	"2"	"cpo"
"Toll-6"	0	0.77886418467597	0.469	0.145	0	"2"	"Toll-6"
"sm"	0	0.765830274889995	0.763	0.281	0	"2"	"sm"
"Msp300"	0	0.763471378647424	0.715	0.251	0	"2"	"Msp300"
"CG13739"	0	0.759379575463965	0.387	0.118	0	"2"	"CG13739"
"kek1"	0	0.757487266997091	0.538	0.182	0	"2"	"kek1"
"nmo"	0	0.748005383850769	0.697	0.234	0	"2"	"nmo"
"CG42313"	0	0.74288220041477	0.339	0.105	0	"2"	"CG42313"
"dpr1"	0	0.74269672442142	0.414	0.138	0	"2"	"dpr1"
"CG16779"	0	0.742690337916697	0.611	0.199	0	"2"	"CG16779"
"Ca-alpha1D"	0	0.74220465160425	0.405	0.116	0	"2"	"Ca-alpha1D"
"dlg1"	0	0.741457174013224	0.752	0.255	0	"2"	"dlg1"
