"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"grn"	1.58844269493471e-77	1.18222375610173	0.445	0.151	3.138445076652e-73	"3"	"grn"
"nrm"	1.18517177219098e-72	0.679064787666097	0.328	0.084	2.34166238749493e-68	"3"	"nrm"
"Ance"	1.71267593393239e-59	0.728367583748817	0.39	0.133	3.38390511026362e-55	"3"	"Ance"
"yellow-e3"	4.81926834557725e-59	0.397517868015754	0.562	0.254	9.52191039719153e-55	"3"	"yellow-e3"
"CG10249"	6.04157783898716e-55	0.433113245658687	0.449	0.174	1.19369494942708e-50	"3"	"CG10249"
"Sec61beta"	5.25216808102451e-51	0.518675234775705	0.768	0.503	1.03772336944882e-46	"3"	"Sec61beta"
"nuf"	3.7635821991241e-50	0.422188035177157	0.51	0.237	7.4360857090294e-46	"3"	"nuf"
"CG43184"	5.60637453109233e-46	0.669742752844591	0.468	0.207	1.10770747985322e-41	"3"	"CG43184"
"CG50591"	6.64567631240176e-46	0.45549965233089	0.942	0.782	1.31305272580434e-41	"3"	"CG5059"
"kek1"	2.18227015622137e-43	1.02662319469125	0.575	0.338	4.31172937466219e-39	"3"	"kek1"
"path"	1.92646618866087e-41	0.322923250864987	0.67	0.368	3.80631189555615e-37	"3"	"path"
"ImpE2"	5.26275866284005e-41	0.889395782493921	0.289	0.101	1.03981585660394e-36	"3"	"ImpE2"
"msi"	1.99906515601319e-40	0.394343210811987	0.813	0.516	3.94975293525085e-36	"3"	"msi"
"Blimp-1"	2.23216956975764e-39	0.409316218116124	0.473	0.215	4.41032063592715e-35	"3"	"Blimp-1"
"CG15628"	2.70859133386725e-37	0.385473964239577	0.948	0.832	5.35163475745491e-33	"3"	"CG15628"
"rdx"	2.23444497777393e-34	0.33833125877815	0.861	0.645	4.41481638708574e-30	"3"	"rdx"
"knrl"	1.88710956261458e-32	0.473501784876838	0.401	0.199	3.72855107381388e-28	"3"	"knrl"
"kni"	7.63243228267423e-32	0.315075440831717	0.302	0.124	1.50801597041077e-27	"3"	"kni"
"px"	1.25801910761622e-29	0.274353136513883	0.579	0.33	2.48559415282813e-25	"3"	"px"
"CG4452"	1.52434953525165e-29	0.296996263749188	0.842	0.61	3.0118098117502e-25	"3"	"CG4452"
"CG43394"	4.77653658846035e-28	0.268568016650246	0.571	0.322	9.43748099147996e-24	"3"	"CG43394"
"tna"	6.61718775720639e-28	0.413441120280637	0.876	0.683	1.30742395706884e-23	"3"	"tna"
"CG42788"	3.13336048638007e-26	0.252772088655827	0.301	0.132	6.19089364898973e-22	"3"	"CG42788"
"pros"	3.91108393955861e-25	0.289113257562077	0.382	0.201	7.7275196477799e-21	"3"	"pros"
"noc"	1.05445198053173e-24	0.318790464247463	0.696	0.464	2.08338622313459e-20	"3"	"noc"
"CG12420"	2.52556112963266e-23	0.300302138440208	0.751	0.509	4.9900036799282e-19	"3"	"CG12420"
"stg"	2.90427484865481e-23	0.353797991500193	0.599	0.385	5.73826624597218e-19	"3"	"stg"
"numb"	3.07732930403886e-21	0.254315270942335	0.486	0.285	6.08018723891998e-17	"3"	"numb"
"egr"	6.03483004238139e-20	0.356491566663358	0.354	0.19	1.19236171977371e-15	"3"	"egr"
"mirr"	1.41333770700098e-19	0.398018838325231	0.332	0.177	2.79247264149254e-15	"3"	"mirr"
"toc"	3.52530752920049e-19	0.30420554152609	0.382	0.211	6.96530261619433e-15	"3"	"toc"
"hbs"	3.59950694941426e-19	0.349047607811703	0.288	0.143	7.11190583065269e-15	"3"	"hbs"
