"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"	"TF"
"145"	8.3277814864689e-117	0.578983655972625	0.997	0.781	1.45677881542801e-112	1	"CG30172"	FALSE
"146"	1.11628967999308e-116	0.573285212247102	0.943	0.461	1.95272553721189e-112	1	"CG16779"	TRUE
"147"	3.82328531526136e-116	0.613630633537699	0.834	0.357	6.68807300198669e-112	1	"Sytbeta"	FALSE
"148"	6.46899908665691e-116	0.673496964566734	0.663	0.239	1.13162201022889e-111	1	"lncRNA:CR40469"	FALSE
"149"	1.59703405140513e-115	0.578342394095692	0.951	0.567	2.793691666123e-111	1	"alphaSnap"	FALSE
"150"	1.18502981498004e-114	0.619039090571848	0.987	0.661	2.07297265534459e-110	1	"sm"	FALSE
"151"	2.61676678680481e-112	0.611667287068675	0.975	0.594	4.57751014015766e-108	1	"jim"	TRUE
"152"	4.72774568969612e-112	0.54806215146505	0.892	0.414	8.27024553498543e-108	1	"CG5890"	FALSE
"153"	6.38987512960676e-111	0.552040867193079	0.87	0.455	1.11778085642211e-106	1	"Ubi-p5E"	FALSE
"154"	4.09105012793394e-110	0.542808613703593	0.978	0.507	7.15647398879484e-106	1	"Drep2"	FALSE
"155"	7.47380626724176e-110	0.578858296368115	0.826	0.386	1.3073929303286e-105	1	"Ktl"	FALSE
"156"	3.82315748958553e-109	0.555335603961431	0.999	0.944	6.68784939653196e-105	1	"Gapdh2"	FALSE
"157"	9.6270691945573e-109	0.590936017917246	0.9	0.442	1.68406321420391e-104	1	"nAChRalpha1"	FALSE
"158"	2.16178948788549e-108	0.541087880478602	0.943	0.57	3.78161835115809e-104	1	"arm"	FALSE
"159"	3.3448247918117e-108	0.553293681290588	0.993	0.662	5.8511020083162e-104	1	"CG6329"	FALSE
"160"	2.09206580945527e-107	0.587510754977376	0.99	0.683	3.6596507204801e-103	1	"dnc"	FALSE
"161"	5.33947199162838e-107	0.788127954653057	0.958	0.605	9.34033835495553e-103	1	"igl"	FALSE
"162"	1.16038058165118e-105	0.676243454513447	0.574	0.189	2.0298537514824e-101	1	"CG34354"	FALSE
"163"	1.71167611083583e-105	0.565373295095498	0.985	0.658	2.99423502068512e-101	1	"CaMKII"	FALSE
"164"	2.30831989456399e-103	0.583826305200502	0.997	0.869	4.03794399156079e-99	1	"nrv3"	FALSE
"165"	3.79520533361847e-102	0.546412521417765	0.993	0.703	6.63895269009879e-98	1	"CG7646"	FALSE
"166"	5.09246612457968e-102	0.561129051159338	0.997	0.745	8.90825099172724e-98	1	"Rdl"	FALSE
"167"	1.57803698696758e-101	0.548087016368412	0.942	0.546	2.76046010130239e-97	1	"eIF4EHP"	FALSE
"168"	4.19552210703262e-101	0.541046666631696	0.964	0.569	7.33922682183216e-97	1	"TM4SF"	FALSE
"169"	7.44029677086076e-101	0.709188223828252	0.913	0.563	1.30153111412667e-96	1	"Hsp67Bc"	FALSE
"170"	1.10741146067833e-100	0.55666504708129	0.925	0.508	1.93719486816459e-96	1	"Pfk"	FALSE
"171"	1.82289329506238e-99	0.542734910463337	0.996	0.715	3.18878724105262e-95	1	"7B2"	FALSE
"172"	1.11670661097211e-98	0.742414378533497	0.972	0.684	1.95345487457351e-94	1	"Rbp6"	FALSE
"173"	9.74785384680625e-96	0.740546796085444	0.982	0.797	1.70519207342182e-91	1	"Ggamma30A"	FALSE
"174"	4.99304018441042e-93	0.576505716069109	0.967	0.621	8.73432519458916e-89	1	"CG32264"	FALSE
"175"	5.13111258498124e-93	0.995039213798525	0.832	0.501	8.97585524490768e-89	1	"trv"	FALSE
"176"	1.42640779672798e-92	0.899632676615072	0.934	0.628	2.49521515881625e-88	1	"Cbp53E"	FALSE
"177"	1.04147149637896e-89	0.548833272158019	0.87	0.468	1.82184608861572e-85	1	"Ace"	FALSE
"178"	4.74915745104416e-88	0.675177047363069	0.744	0.355	8.30770112911155e-84	1	"CG15765"	FALSE
"179"	1.01736141910227e-85	0.600432454619664	0.669	0.285	1.77967033043559e-81	1	"beat-VII"	FALSE
"180"	1.48396738111591e-85	0.627528086357811	0.823	0.446	2.59590413978606e-81	1	"CG32700"	FALSE
"181"	8.06041053370326e-80	0.577023027230705	0.828	0.447	1.41000761466071e-75	1	"Frq1"	FALSE
"182"	5.46470765004662e-77	0.558426989686483	0.679	0.304	9.55941309222655e-73	1	"Dscam4"	FALSE
"183"	1.7969735660199e-76	0.60046583748086	0.897	0.521	3.14344585903861e-72	1	"Pkc53E"	FALSE
"184"	5.56262148580846e-75	0.612153602620605	0.682	0.331	9.73069376512473e-71	1	"ChAT"	FALSE
